Total Purchase YTD,Date First Purchase,Birth Date,Marital Status,Yearly Income,Gender,Total Children,Number Children At Home,Education,Occupation,Home Owner Flag,Number Cars Owned
69.99,4/23/2004,1/2/1976,S,25001-50000,M,0,0,Partial College,Skilled Manual,TRUE,1
23.78,10/23/2003,1/2/1976,S,50001-75000,M,0,0,Bachelors ,Professional,TRUE,3
"2,294.99",7/12/2003,1/9/1976,S,25001-50000,M,0,0,High School,Skilled Manual,TRUE,2
39.98,8/10/2003,1/9/1976,S,50001-75000,F,0,0,Bachelors ,Professional,TRUE,2
"6,098.54",3/15/2002,1/10/1976,M,75001-100000,M,0,0,Bachelors ,Professional,TRUE,2
28.99,2/5/2004,1/10/1976,M,25001-50000,M,0,0,High School,Skilled Manual,TRUE,2
21.98,5/8/2004,1/11/1976,M,50001-75000,F,0,0,Partial College,Professional,TRUE,2
119.98,8/21/2003,1/11/1976,S,25001-50000,F,0,0,High School,Skilled Manual,TRUE,2
"1,839.90",10/27/2002,1/12/1976,S,25001-50000,F,0,0,Partial College,Skilled Manual,FALSE,1
73.96,9/19/2003,1/12/1976,M,25001-50000,M,0,0,High School,Skilled Manual,TRUE,2
53.99,3/18/2004,1/12/1976,M,0-25000,F,0,0,High School,Manual,FALSE,1
96.07,4/16/2004,1/14/1976,S,25001-50000,M,0,0,Partial College,Skilled Manual,TRUE,1
43.97,5/4/2004,1/18/1976,S,25001-50000,F,0,0,Partial College,Clerical,FALSE,1
62.97,2/11/2004,1/18/1976,S,25001-50000,F,0,0,Partial College,Clerical,FALSE,1
91.95,7/31/2003,1/19/1976,S,25001-50000,F,0,0,High School,Skilled Manual,FALSE,2
"2,337.27",5/6/2004,1/21/1976,M,25001-50000,M,0,0,High School,Skilled Manual,TRUE,2
25.48,3/29/2004,1/21/1976,S,0-25000,M,0,0,High School,Manual,FALSE,1
94.48,5/11/2004,1/22/1976,S,25001-50000,M,0,0,Partial College,Skilled Manual,FALSE,1
"2,419.06",10/29/2003,1/22/1976,S,0-25000,M,0,0,Graduate Degree,Manual,FALSE,0
"2,319.99",7/9/2003,1/25/1976,S,25001-50000,M,0,0,Partial College,Skilled Manual,FALSE,1
"4,173.19",6/1/2002,1/25/1976,S,25001-50000,M,0,0,Partial College,Clerical,FALSE,1
"6,848.07",1/6/2003,1/31/1976,S,50001-75000,M,0,0,Bachelors ,Professional,FALSE,3
