ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
24121,JB385617,08/09/2018 04:30:00 AM,097XX S HARVARD AVE,0110,HOMICIDE,FIRST DEGREE MURDER,HOUSE,false,false,0511,005,21,49,01A,1175672,1840435,2018,08/16/2018 04:02:38 PM,41.71751955,-87.632185603,"(41.71751955, -87.632185603)"
24097,JB361858,07/31/2018 08:40:00 PM,026XX S DRAKE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1032,010,22,30,01A,1153126,1886278,2018,08/07/2018 04:02:59 PM,41.843793935,-87.713552786,"(41.843793935, -87.713552786)"
24096,JB372406,07/31/2018 01:10:00 AM,015XX W 79TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,false,false,0612,006,21,71,01A,1167432,1852342,2018,08/07/2018 04:02:59 PM,41.750374294,-87.662025195,"(41.750374294, -87.662025195)"
24095,JB372197,07/30/2018 10:27:00 PM,047XX S FORRESTVILLE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0223,002,3,38,01A,1180724,1873803,2018,08/06/2018 04:01:16 PM,41.808970443,-87.612658422,"(41.808970443, -87.612658422)"
24094,JB347307,07/29/2018 06:41:00 PM,082XX S WENTWORTH AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0622,006,21,44,01A,1176422,1850328,2018,08/05/2018 03:55:07 PM,41.744650431,-87.629142232,"(41.744650431, -87.629142232)"
24093,JB370813,07/29/2018 10:43:00 PM,041XX W POTOMAC AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,2534,025,37,23,01A,1148501,1908338,2018,08/05/2018 03:55:07 PM,41.904419476,-87.729956677,"(41.904419476, -87.729956677)"
24092,JB370655,07/29/2018 07:58:00 PM,106XX S GREEN BAY AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0432,004,10,52,01A,1200525,1834992,2018,08/05/2018 03:55:07 PM,41.701992038,-87.541344349,"(41.701992038, -87.541344349)"
24091,JB369679,07/28/2018 11:56:00 PM,003XX S WASHTENAW AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1125,011,2,27,01A,1158436,1898241,2018,08/04/2018 03:58:12 PM,41.876514847,-87.693739012,"(41.876514847, -87.693739012)"
24090,JB368580,07/28/2018 04:53:00 AM,071XX W GRAND AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,2512,025,36,18,01A,1128038,1915268,2018,08/04/2018 03:58:12 PM,41.923806678,-87.804967456,"(41.923806678, -87.804967456)"
24088,JB368403,07/28/2018 12:29:00 AM,053XX S MARSHFIELD AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0932,009,16,61,01A,1166249,1869311,2018,08/04/2018 03:58:12 PM,41.79696469,-87.665877661,"(41.79696469, -87.665877661)"
23067,JA107083,01/07/2017 10:07:00 AM,013XX W HASTINGS ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1233,012,2,28,01A,1167596,1893850,2017,08/04/2018 03:53:27 PM,41.864273353,-87.660232974,"(41.864273353, -87.660232974)"
24089,JB368383,07/27/2018 11:58:00 PM,024XX W MADISON ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1125,011,2,28,01A,1160055,1899942,2018,08/03/2018 04:16:20 PM,41.881149287,-87.687747582,"(41.881149287, -87.687747582)"
24086,JB367346,07/27/2018 11:42:00 AM,104XX S WABASH AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0512,005,9,49,01A,1178421,1835701,2018,08/03/2018 04:16:20 PM,41.704466939,-87.622260387,"(41.704466939, -87.622260387)"
24084,JB366917,07/27/2018 02:00:00 AM,069XX S EAST END AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0332,003,5,43,01A,1188977,1859280,2018,08/03/2018 04:16:20 PM,41.768924366,-87.582853494,"(41.768924366, -87.582853494)"
24085,JB366732,07/26/2018 08:58:00 PM,055XX S LAFAYETTE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,PORCH,false,false,0225,002,3,40,01A,1176926,1868135,2018,08/02/2018 03:53:00 PM,41.793503467,-87.626759506,"(41.793503467, -87.626759506)"
24082,JB365528,07/26/2018 01:17:00 AM,052XX S PEORIA ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0934,009,3,61,01A,1171196,1870143,2018,08/02/2018 03:53:00 PM,41.799140951,-87.647712137,"(41.799140951, -87.647712137)"
23949,JB270276,05/19/2018 05:56:00 PM,054XX W FULTON ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1523,015,28,25,01A,1139665,1901475,2018,08/02/2018 03:50:34 PM,41.885752526,-87.762581859,"(41.885752526, -87.762581859)"
24081,JB365354,07/25/2018 10:05:00 PM,029XX W FIFTH AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1124,011,2,27,01A,1156926,1899592,2018,08/01/2018 03:55:43 PM,41.880252868,-87.69924661,"(41.880252868, -87.69924661)"
4328,HN704151,11/14/2007 12:30:00 AM,061XX S PRAIRIE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,VACANT LOT,true,false,0311,003,20,40,01A,1179093,1864370,2007,08/01/2018 03:51:33 PM,41.783122796,-87.618928079,"(41.783122796, -87.618928079)"
10681545,HZ434091,09/14/2016 05:36:50 PM,030XX N CICERO AVE,0142,HOMICIDE,RECKLESS HOMICIDE,STREET,true,false,2521,025,31,19,01B,1143834,1920097,2016,08/01/2018 03:51:33 PM,41.936776176,-87.746804611,"(41.936776176, -87.746804611)"
23907,JB236711,04/24/2018 09:09:00 PM,051XX W CHICAGO AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1531,015,37,25,01A,1141760,1904840,2018,07/31/2018 03:48:36 PM,41.894947998,-87.754805169,"(41.894947998, -87.754805169)"
21990,HY346232,07/19/2015 12:01:00 AM,005XX N AVERS AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1122,011,27,23,01A,1150629,1903229,2015,07/31/2018 03:48:36 PM,41.890358524,-87.722273552,"(41.890358524, -87.722273552)"
24077,JB361048,07/23/2018 12:01:00 AM,003XX E 130TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,PARKING LOT,false,false,0533,005,9,54,01A,1180742,1819194,2018,07/30/2018 03:52:24 PM,41.659116447,-87.614265792,"(41.659116447, -87.614265792)"
24074,JB358768,07/23/2018 12:12:00 AM,011XX N CENTRAL PARK AVE,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,false,true,1112,011,27,23,01A,1152169,1907245,2018,07/30/2018 03:52:24 PM,41.901348592,-87.71651188,"(41.901348592, -87.71651188)"
