DateTime, Installs, Downloads, Version
2019-05-22T18:00:00, 1, 1, v1.0.0
2019-05-25T18:00:00, 81, 149, v1.4.0
2019-05-26T18:00:00, 104, 194, v1.4.1
2019-05-27T18:00:00, 120, 240, v1.5.0
2019-05-28T18:00:00, 153, 365, v1.5.1
2019-05-28T18:00:00, 153, 365, v1.6.0
2019-05-29T18:00:00, 225, 488, v1.6.1
2019-05-30T18:00:00, 330, 716, v1.6.2
2019-05-31T18:00:00, 371, 845, v1.6.2
2019-06-01T18:00:00, 437, 961, v1.7.0
2019-06-02T18:00:00, 459, 1081, v1.7.0
2019-06-03T18:00:00, 563, 1334, v1.7.0
2019-06-04T18:00:00, 651, 1446, v1.7.0
2019-06-05T18:00:00, 751, 1598, v1.8.0
2019-06-06T18:00:00, 853, 2067, v1.8.1
2019-06-07T18:00:00, 937, 2379, v1.9.0
2019-06-08T18:00:00, 978, 2544, v1.9.0
2019-06-09T18:00:00, 1050, 2800, v1.9.1
2019-06-10T18:00:00, 1158, 3280, v1.9.2
2019-06-11T18:00:00, 1277, 3618, v1.9.2
2019-06-12T18:00:00, 1400, 3973, v1.10.0
2019-06-13T18:00:00, 1585, 5030, v1.10.2
2019-06-14T18:00:00, 1692, 5522, v1.10.2
2019-06-15T18:00:00, 1749, 5800, v1.11.0
2019-06-16T18:00:00, 1789, 6170, v1.12.0
2019-06-17T18:00:00, 1939, 7259, v1.14.0
2019-06-18T18:00:00, 2089, 8080, v1.15.0
2019-06-19T18:00:00, 2259, 9480, v1.16.0
2019-06-20T18:00:00, 2405, 10604, v1.17.0
2019-06-21T18:00:00, 2485, 11169, v1.17.1
2019-06-22T18:00:00, 2568, 11739, v1.18.0
2019-06-23T18:00:00, 2572, 11791, v1.19.0
2019-06-24T18:00:00, 2767, 13365, v1.19.1
2019-06-25T18:00:00, 2937, 14759, v1.20.0
2019-06-26T18:00:00, 3100, 16100, v1.21.0
2019-06-27T18:00:00, 3227, 16700, v1.21.0
2019-06-28T18:00:00, 3371, 17374, v1.21.0
2019-06-29T18:00:00, 3437, 17841, v1.22.0
2019-06-30T18:00:00, 3507, 18426, v1.23.0
2019-07-01T18:00:00, 3632, 19468, v1.23.0
2019-07-02T18:00:00, 3788, 19906, v1.23.0
2019-07-03T18:00:00, 3910, 20137, v1.23.0
2019-07-04T18:00:00, 4064, 20411, v1.23.0
2019-07-05T18:00:00, 4201, 21251, v1.24.0
2019-07-06T18:00:00, 4295, 22377, v1.25.0
2019-07-07T18:00:00, 4325, 22635, v1.25.0
2019-07-08T18:00:00, 4450, 23675, v1.25.0
2019-07-09T18:00:00, 4614, 24124, v1.25.0
2019-07-10T18:00:00, 4780, 25460, v1.26.0
2019-07-11T18:00:00, 4936, 26448, v1.26.0
